,bus_i,l_ren,c_vec,county,carb_inten_no_renew,pd,kV,carb_inten_inc_all,Type,Import,Lat,Lon
0,1,29.3647111,0.0,Alameda County,0.0,18.5594754,115,0.0,'Substation',' ',37.77243572,-122.2429162
1,2,6.32224069,0.0,Alameda County,0.0,3.99586667,66,0.0,'Substation',' ',37.77848161,-121.6259513
2,3,0.0,0.0,Alameda County,0.0,0.0,66,0.0,'Substation',' ',37.7483765,-121.6772083
3,4,11.8210013,0.0,Alameda County,0.0,7.47126649,230,0.0,'Substation',' ',37.69128098,-122.0612774
4,5,60.1354988,0.0,Alameda County,0.0,38.007638,115,0.0,'Substation',' ',37.59578193,-122.0174353
5,6,0.0,0.0,Trinity County,0.0,0.0,66,0.0,'Substation',' ',40.09403073,-123.5091868
6,7,67.4710293,0.0,Alameda County,0.0,42.6439376,115,0.0,'Substation',' ',37.55699202,-122.05794
7,8,34.0998838,0.0,Alameda County,0.0,21.5522622,115,0.0,'Substation',' ',37.73868954,-122.1937991
8,9,4.21162153,0.0,Alameda County,0.0,2.66188507,115,0.0,'Substation',' ',37.49369132,-121.9394285
9,10,12.9259608,0.0,Alameda County,0.0,8.16963772,115,0.0,'Substation',' ',37.67126804,-122.1595387
10,11,3.26116454,0.0,Alameda County,0.0,2.0611646,115,0.0,'Substation',' ',37.876174,-122.245764
11,12,3.03921052,0.0,Alameda County,0.0,1.92088227,66,0.0,'Substation',' ',37.66794608,-121.8318768
12,13,18.2110168,0.0,Alameda County,0.0,11.5099691,115,0.0,'Substation',' ',37.59531056,-122.0174915
13,14,19.9781964,0.0,Alameda County,0.0,12.6268855,66,0.0,'Substation',' ',37.70853376,-121.9070045
14,15,12.9467694,0.0,Alameda County,0.0,8.18278945,66,0.0,'Substation',' ',37.68002781,-121.7805048
15,16,11.6789963,0.0,Alameda County,0.0,7.38151464,66,0.0,'Substation',' ',37.71164362,-121.8938504
16,17,24.1079519,0.0,Alameda County,0.0,15.2370285,66,0.0,'Substation',' ',37.67255501,-121.859528
17,18,0.0,0.0,Alameda County,0.0,0.0,230,0.0,'Substation',' ',37.79905699,-121.6199438
18,19,24.4747092,0.0,Alameda County,0.0,15.4688313,115,0.0,'Substation',' ',37.71062477,-122.1481883
19,20,37.691091,0.0,Alameda County,0.0,23.8220248,115,0.0,'Substation',' ',37.76299826,-122.2144948
20,21,6.63205624,0.0,Alameda County,0.0,4.19168042,115,0.0,'Substation',' ',37.58690266,-121.869684
21,22,4.30690537,0.0,Alameda County,0.0,2.72210763,115,0.0,'Substation',' ',37.60924399,-121.842671
22,23,0.0,0.0,Alameda County,0.0,0.0,66,0.0,'Substation',' ',37.71111924,-121.7158749
23,24,4.21889651,0.0,Alameda County,0.0,2.6664831,66,0.0,'Substation',' ',37.66968929,-121.8544376
24,25,2.29522565,0.0,Amador County,0.0,1.45065905,66,0.0,'Substation',' ',38.408767,-120.822098
25,26,2.78586596,0.0,Amador County,0.0,1.76076007,66,0.0,'Substation',' ',38.34219061,-120.9349804
26,27,2.72872396,0.0,Amador County,0.0,1.72464442,66,0.0,'Substation',' ',38.37390104,-120.9575497
27,28,0.0,0.0,Amador County,0.0,0.0,66,0.0,'Substation',' ',38.27717343,-120.9138995
28,29,4.23241594,0.0,Amador County,0.0,2.67502783,66,0.0,'Substation',' ',38.36910799,-120.796754
29,30,2.37281702,0.0,Amador County,0.0,1.49969938,66,0.0,'Substation',' ',38.36863575,-120.8054803
30,31,1.33957886,0.0,Amador County,0.0,0.846658452,66,0.0,'Substation',' ',38.48076425,-120.8449436
31,32,0.0,0.0,Amador County,0.0,0.0,115,0.0,'Substation',' ',38.4984199,-120.2184202
32,33,2.56476396,0.0,Amador County,0.0,1.62101624,66,0.0,'Substation',' ',38.4127977,-120.6602339
33,34,0.0,0.0,San Joaquin County,0.0,0.0,115,0.0,'Substation',' ',37.71296547,-121.4775277
34,35,0.0,0.0,Butte County,0.0,0.0,66,0.0,'Substation',' ',39.48122633,-121.5654854
35,36,4.27783108,0.0,Butte County,0.0,2.70373171,66,0.0,'Substation',' ',39.36471317,-121.6856152
36,37,6.68718047,0.0,Butte County,0.0,4.22652077,66,0.0,'Substation',' ',39.47437782,-121.5747818
