,bus_i,l_ren,c_vec,carb_inten_renew,pd,kV,carb_inten_inc_all,Type,Import,Lat,Lon
0,1,34.7525308,0.0,0.0,11.0870443,115,0.0,'Substation',' ',37.77243572,-122.2429162
1,2,7.48224164,0.0,0.0,2.38704758,66,0.0,'Substation',' ',37.77848161,-121.6259513
2,3,0.0,0.0,0.0,0.0,66,0.0,'Substation',' ',37.7483765,-121.6772083
3,4,13.9899114,0.0,0.0,4.46317905,230,0.0,'Substation',' ',37.69128098,-122.0612774
4,5,71.1691235,0.0,0.0,22.7049716,115,0.0,'Substation',' ',37.59578193,-122.0174353
5,6,0.0,0.10354344191653822,0.1579203,0.0,66,0.0,'Substation',' ',40.09403073,-123.5091868
6,7,79.8505738,0.0,0.0,25.4746008,115,0.0,'Substation',' ',37.55699202,-122.05794
7,8,40.3565103,0.0,0.0,12.8748729,115,0.0,'Substation',' ',37.73868954,-122.1937991
8,9,4.98436728,0.0,0.0,1.59015472,115,0.0,'Substation',' ',37.49369132,-121.9394285
9,10,15.2976083,0.0,0.0,4.88037151,115,0.0,'Substation',' ',37.67126804,-122.1595387
10,11,3.85952103,0.0,0.0,1.23129682,115,0.0,'Substation',' ',37.876174,-122.245764
11,12,3.59684316,0.0,0.0,1.14749512,66,0.0,'Substation',' ',37.66794608,-121.8318768
12,13,21.5523634,0.0,0.0,6.87581602,115,0.0,'Substation',' ',37.59531056,-122.0174915
13,14,23.6437841,0.0,0.0,7.54303862,66,0.0,'Substation',' ',37.70853376,-121.9070045
14,15,15.322235,0.0,0.0,4.88822811,66,0.0,'Substation',' ',37.68002781,-121.7805048
15,16,13.8218515,0.0,0.0,4.40956316,66,0.0,'Substation',' ',37.71164362,-121.8938504
16,17,28.5312645,0.0,0.0,9.10228365,66,0.0,'Substation',' ',37.67255501,-121.859528
17,18,0.0,0.0,0.0,0.0,230,0.0,'Substation',' ',37.79905699,-121.6199438
18,19,28.9653143,0.0,0.0,9.24075788,115,0.0,'Substation',' ',37.71062477,-122.1481883
19,20,44.6066294,0.0,0.0,14.2307816,115,0.0,'Substation',' ',37.76299826,-122.2144948
20,21,2.8884143217230305,6.106535289449757,1.2310353,2.50402261,115,0.778011419025378,'Substation',' ',37.58690266,-121.869684
21,22,4.27038580511432,1.017755879736021,1.2310353,1.62613042,115,0.1996721949329787,'Substation',' ',37.60924399,-121.842671
22,23,0.0,0.0,0.0,0.0,66,0.0,'Substation',' ',37.71111924,-121.7158749
23,24,4.99297708,0.0,0.0,1.59290149,66,0.0,'Substation',' ',37.66968929,-121.8544376
24,25,2.71635229,0.0,0.0,0.866593525,66,0.0,'Substation',' ',38.408767,-120.822098
25,26,3.29701503,0.0,0.0,1.05184143,66,0.0,'Substation',' ',38.34219061,-120.9349804
26,27,3.22938854,0.0,0.0,1.03026666,66,0.0,'Substation',' ',38.37390104,-120.9575497
27,28,0.0,0.0,0.0,0.0,66,0.0,'Substation',' ',38.27717343,-120.9138995
28,29,5.00897713,0.0,0.0,1.59800596,66,0.0,'Substation',' ',38.36910799,-120.796754
29,30,2.8081801,0.0,0.0,0.895889203,66,0.0,'Substation',' ',38.36863575,-120.8054803
30,31,1.58536399,0.0,0.0,0.505776137,66,0.0,'Substation',' ',38.48076425,-120.8449436
31,32,0.0,0.0,0.0,0.0,115,0.0,'Substation',' ',38.4984199,-120.2184202
32,33,3.03534532,0.0,0.0,0.96836136,66,0.0,'Substation',' ',38.4127977,-120.6602339
33,34,0.0,1.017755879736021,1.2310353,0.0,115,0.0,'Substation',' ',37.71296547,-121.4775277
34,35,0.0,0.0,0.0,0.0,66,0.0,'Substation',' ',39.48122633,-121.5654854
35,36,5.06272495,0.0,0.0,1.61515304,66,0.0,'Substation',' ',39.36471317,-121.6856152
36,37,7.91414031,0.0,0.0,2.52483552,66,0.0,'Substation',' ',39.47437782,-121.5747818
37,38,1.61068804,0.0,0.0,0.513855227,66,0.0,'Substation',' ',39.4087526,-121.6886266
38,39,0.0,0.0,0.0,1.17086935,115,0.0,'Substation',' ',34.64326979,-120.4372802
39,40,0.0,0.10914346216811921,1.2310353,0.0,66,0.0,'Substation',' ',39.81095374,-121.9196266
40,41,2.14950444,0.0,0.0,0.685752962,66,0.0,'Substation',' ',39.38767374,-121.4031757
41,42,3.05742291,0.0,0.0,0.97540474,115,0.0,'Substation',' ',39.71220645,-121.8133571
42,43,0.0,0.0,0.0,0.0,115,0.0,'Substation',' ',39.71884016,-121.8209206
43,44,5.17173731,0.0,0.0,1.64993108,115,0.0,'Substation',' ',39.72551493,-121.8470758
44,45,0.0,0.0,0.0,0.0,115,0.0,'Substation',' ',33.81774602,-116.3674057
45,46,0.0,0.0,0.0,0.0,115,0.0,'Substation',' ',39.60773551,-121.7683336
46,47,8.643502283595632,0.10914346216811921,1.2310353,2.78580773,66,0.012499019133897879,'Substation',' ',39.74641854,-122.0113693
47,48,11.8639162,0.0,0.0,3.78492619,115,0.0,'Substation',' ',39.7602408,-121.9070486
48,49,0.0,0.0,0.0,0.0,66,0.0,'Substation',' ',39.50399795,-121.560155
49,50,0.0,0.0,0.0,0.0,66,0.0,'Substation',' ',39.76066295,-121.6187304
50,51,0.0,0.0,0.0,0.0,66,0.0,'Substation',' ',39.37824172,-121.6850945
51,52,1.2853538,0.0,0.0,0.410064367,115,0.0,'Substation',' ',39.76876106,-121.8240284
52,53,2.84371785,0.0,0.0,0.907226756,115,0.0,'Substation',' ',39.48676454,-121.6880242
53,54,0.0,0.0,0.0,0.0,115,0.0,'Substation',' ',39.49170026,-121.5409467
54,55,1.94854836,0.0,0.0,0.621642267,66,0.0,'Substation',' ',38.16989692,-120.6672277
55,56,4.2497951351143195,1.017755879736021,1.2310353,1.61956141,115,0.20048207366845835,'Substation',' ',38.06981688,-120.4221335
56,57,0.0,0.0,0.0,0.0,66,0.0,'Substation',' ',38.10148065,-120.9261759
57,58,0.0,1.017755879736021,1.2310353,0.0,115,0.0,'Substation',' ',38.0571528,-120.5339711
58,59,0.0,0.0,0.0,0.0,230,0.0,'Substation',' ',37.9446466,-120.5362212
59,60,0.0,0.0,0.0,0.0,115,0.0,'Substation',' ',38.14698707,-120.4464194
60,61,0.0,0.0,0.0,0.0,66,0.0,'Substation',' ',38.19974699,-120.719348
61,62,0.0,0.0,0.0,0.0,66,0.0,'Substation',' ',39.01747968,-122.0613948
62,63,4.65868261,0.0,0.0,1.48625206,66,0.0,'Substation',' ',39.21353467,-122.0025503
63,64,4.11009882,0.0,0.0,1.31123825,66,0.0,'Substation',' ',38.96982277,-122.0433322
64,65,4.44889217,0.0,0.0,1.41932295,66,0.0,'Substation',' ',38.96922396,-122.0704684
65,66,0.0,0.0,0.0,0.0,66,0.0,'Substation',' ',39.27695996,-122.1532889
66,67,1.96925976,0.0,0.0,0.628249792,66,0.0,'Substation',' ',39.40274718,-122.0132647
67,68,0.0,0.0,0.0,0.0,66,0.0,'Substation',' ',39.15748765,-122.1477121
68,69,10.523423067942021,1.3958603792309245,1.2310353,3.7190144,115,0.11974116158836788,'Substation',' ',37.99392322,-122.1301156
69,70,1.49934012,0.0,0.0,0.47833208,66,0.0,'Substation',' ',37.81698936,-121.5871457
70,71,0.0,0.0,0.0,0.0,66,0.0,'Substation',' ',38.01132999,-121.748771
71,72,1.50839888,0.0,0.0,0.481222081,66,0.0,'Substation',' ',37.88699377,-121.5769277
72,73,0.0,2.029637752922777e-09,0.12882474071302064,0.0,66,0.0,'Substation',' ',38.01049965,-121.7562696
73,74,35.8073902,0.0,0.0,11.4235744,115,0.0,'Substation',' ',38.02639867,-121.8496279
74,75,3.92629261430031,0.7754779899672234,1.2310353,1.4535675,115,0.1702015917773164,'Substation',' ',38.01420008,-122.1158065
75,76,0.0,0.0,0.0,0.0,66,0.0,'Substation',' ',38.01900393,-122.2354177
76,77,15.5477289,0.0,0.0,4.96016706,66,0.0,'Substation',' ',37.92595616,-122.0713843
77,78,2.42428421,0.0,0.0,0.773415514,66,0.0,'Substation',' ',37.83870261,-121.6229064
78,79,0.0,0.0,0.0,0.0,66,0.0,'Substation',' ',37.92583801,-121.678276
79,80,2.128613101583731,2.0162427684946254,1.2310353,1.20160652,115,0.5353155907320463,'Substation',' ',38.0125913,-122.0426788
80,81,2.43404031,0.0,0.0,0.776527986,66,0.0,'Substation',' ',37.88525172,-121.8144465
81,82,34.5287376,0.0,0.0,11.0156479,115,0.0,'Substation',' ',37.94410025,-121.9691071
82,83,3.9759122192543828,2.029637752922777e-09,0.12882474071302064,1.61818629,115,0.027844385706128058,'Substation',' ',38.02598429,-121.8633112
83,84,6.83149776,0.0,0.0,2.1794418,66,0.0,'Substation',' ',38.01351802,-121.815552
84,85,0.0,5.58537305431831,1.2310353,0.654928671,115,1.2310353,'Substation',' ',38.02728725,-121.8543797
85,86,2.44590804,0.0,0.0,0.78031413,115,0.0,'Substation',' ',37.8759552,-122.1870459
