county,carb_intesity
Alameda County,0.38598074
Alpine County,0.050473425
Amador County,0.050473425
Butte County,0.754228271
Calaveras County,0.050523623
Clark County,0
Colusa County,1.2310353
Contra Costa County,0.615225573
El Dorado County,0.738374092
Esmeralda County,0.1579203
Fresno County,0.391092063
Glenn County,1.2310353
Humboldt County,1.157815242
Imperial County,0.168895846
Inyo County,0.1579203
Jackson County,1.2310353
Josephine County,0
Kern County,0.494379297
Kings County,0.021421087
Klamath County,0
La Paz County,0.1579203
Lake County,0.245597255
Lassen County,0.357105504
Los Angeles County,0.801870736
Madera County,0.244774841
Maricopa County,0
Marin County,0.284409664
Mariposa County,0.536758109
Mendocino County,0.192509408
Merced County,0.335549097
Modoc County,1.2310353
Mono County,0.1579203
Monterey County,0.678615702
Municipio de Mexicali County,0.1579203
Municipio de Tijuana County,0.443163866
Napa County,0.842281903
Nevada County,0.427969745
Orange County,0.921888099
Placer County,0.66288201
Plumas County,0.411421458
Riverside County,0.945440756
Sacramento County,1.12048483
San Benito County,1.065863599
San Bernardino County,0.975718577
San Diego County,0.737308929
San Francisco County,0.19694204
San Joaquin County,0.453134775
San Luis Obispo County,0.00312052
San Mateo County,0.165522346
Santa Barbara County,0.52022358
Santa Clara County,0.750551487
Santa Cruz County,0.156198085
Shasta County,1.159265983
Sierra County,0.50459737
Siskiyou County,1.2310353
Solano County,0.685383942
Sonoma County,0.212434902
Stanislaus County,1.014827706
Sutter County,0.673291188
Tehama County,1.2310353
Trinity County,1.16507807
Tulare County,0.415996707
Tuolumne County,0.698059384
Ventura County,0.980427261
Yolo County,0.660704889
Yuba County,0.615732891
Yuma County,0.1579203
