county,carb_intensity
Alameda County,0.4311675
Alpine County,0.075840789
Amador County,0.075840789
Butte County,0.745093445
Calaveras County,0.075888098
Clark County,0
Colusa County,1.2310353
Contra Costa County,0.646726765
El Dorado County,0.729083345
Esmeralda County,0.1579203
Fresno County,0.412791378
Glenn County,1.2310353
Humboldt County,1.157815242
Imperial County,0.176552586
Inyo County,0.1579203
Jackson County,1.2310353
Josephine County,0
Kern County,0.605055749
Kings County,0.026183506
Klamath County,0
La Paz County,0.633438805
Lake County,0.246689629
Lassen County,0.36282392
Los Angeles County,0.866794249
Madera County,0.28182514
Maricopa County,0
Marin County,0.367082847
Mariposa County,0.581735203
Mendocino County,0.192509408
Merced County,0.354636442
Modoc County,1.2310353
Mono County,0.1579203
Monterey County,0.698362729
Municipio de Mexicali County,0.1579203
Municipio de Tijuana County,0.611798078
Napa County,0.864601772
Nevada County,0.418572105
Orange County,0.9667277
Placer County,0.642912933
Plumas County,0.413293976
Riverside County,0.949642498
Sacramento County,1.118601162
San Benito County,1.073398834
San Bernardino County,0.987837504
San Diego County,0.766387321
San Francisco County,0.253104414
San Joaquin County,0.499154508
San Luis Obispo County,0.033428704
San Mateo County,0.257607326
Santa Barbara County,0.54786917
Santa Clara County,0.773313578
Santa Cruz County,0.184017433
Shasta County,1.15942995
Sierra County,0.500411043
Siskiyou County,1.2310353
Solano County,0.668013922
Sonoma County,0.253990522
Stanislaus County,1.029204006
Sutter County,0.68067241
Tehama County,1.2310353
Trinity County,1.16507807
Tulare County,0.570308484
Tuolumne County,0.791944458
Ventura County,1.041092872
Yolo County,0.672551833
Yuba County,0.606710566
Yuma County,0.200957499
