State,county,carb_intensity
CA,Alameda County,0.681470211
CA,Alpine County,0.171152694
CA,Amador County,0.171152694
CA,Butte County,0.687809785
CA,Calaveras County,0.170201098
CA,Clark County,0
CA,Colusa County,1.2310353
CA,Contra Costa County,0.960280896
CA,El Dorado County,0.727756502
CA,Esmeralda County,0.1579203
CA,Fresno County,0.627286611
CA,Glenn County,1.2310353
CA,Humboldt County,1.157815242
CA,Imperial County,0.221461254
CA,Inyo County,0.1579203
CA,Jackson County,1.2310353
CA,Josephine County,0
CA,Kern County,1.004071983
CA,Kings County,0.743410719
CA,Klamath County,0
CA,La Paz County,1.2310353
CA,Lake County,0.259969846
CA,Lassen County,0.468518117
CA,Los Angeles County,0.981500914
CA,Madera County,0.32651797
CA,Maricopa County,0
CA,Marin County,0.863759527
CA,Mariposa County,0.708749314
CA,Mendocino County,0.192509408
CA,Merced County,0.410086181
CA,Modoc County,0.979737032
CA,Mono County,0.1579203
CA,Monterey County,0.864670488
CA,Municipio de Mexicali County,0.1579203
CA,Municipio de Tijuana County,1.2310353
CA,Napa County,0.880380353
CA,Nevada County,0.492897586
CA,Orange County,0.982402664
CA,Placer County,0.851855109
CA,Plumas County,0.51266697
CA,Riverside County,1.027201775
CA,Sacramento County,1.107194697
CA,San Benito County,1.137712304
CA,San Bernardino County,1.017020039
CA,San Diego County,0.909573866
CA,San Francisco County,0.515322386
CA,San Joaquin County,0.519059116
CA,San Luis Obispo County,0.072117067
CA,San Mateo County,0.633626231
CA,Santa Barbara County,0.586773206
CA,Santa Clara County,0.977033152
CA,Santa Cruz County,0.432356322
CA,Shasta County,1.168131526
CA,Sierra County,0.496262679
CA,Siskiyou County,1.2310353
CA,Solano County,0.673443658
CA,Sonoma County,0.534167519
CA,Stanislaus County,0.93281707
CA,Sutter County,0.787969028
CA,Tehama County,1.2310353
CA,Trinity County,1.16507807
CA,Tulare County,0.928877984
CA,Tuolumne County,0.64457937
CA,Ventura County,1.108819017
CA,Yolo County,0.797130967
CA,Yuba County,0.549526834
CA,Yuma County,0.58307002
