state,county,metric tonnes/MWh
CA,Alameda County,0.659838839
CA,Alpine County,0.17097142
CA,Amador County,0.17097142
CA,Butte County,0.677361963
CA,Calaveras County,0.169981543
CA,Clark County,0
CA,Colusa County,1.2310353
CA,Contra Costa County,0.937176077
CA,El Dorado County,0.73724436
CA,Esmeralda County,0.1579203
CA,Fresno County,0.623193448
CA,Glenn County,1.2310353
CA,Humboldt County,1.157815242
CA,Imperial County,0.219394662
CA,Inyo County,0.1579203
CA,Jackson County,1.2310353
CA,Josephine County,0
CA,Kern County,0.985331593
CA,Kings County,0.740275438
CA,Klamath County,0
CA,La Paz County,1.2310353
CA,Lake County,0.258825395
CA,Lassen County,0.460077433
CA,Los Angeles County,0.978241069
CA,Madera County,0.326635899
CA,Maricopa County,0
CA,Marin County,0.846350662
CA,Mariposa County,0.696119882
CA,Mendocino County,0.192509408
CA,Merced County,0.412764014
CA,Modoc County,0.970755647
CA,Mono County,0.1579203
CA,Monterey County,0.85451346
CA,Municipio de Mexicali County,0.1579203
CA,Municipio de Tijuana County,1.2310353
CA,Napa County,0.873864804
CA,Nevada County,0.481584733
CA,Orange County,0.976022621
CA,Placer County,0.839765281
CA,Plumas County,0.504121948
CA,Riverside County,1.020787378
CA,Sacramento County,1.105043995
CA,San Benito County,1.134844941
CA,San Bernardino County,1.015628174
CA,San Diego County,0.902651169
CA,San Francisco County,0.499391357
CA,San Joaquin County,0.520709696
CA,San Luis Obispo County,0.072126971
CA,San Mateo County,0.619061668
CA,Santa Barbara County,0.585528295
CA,Santa Clara County,0.9632363
CA,Santa Cruz County,0.412993242
CA,Shasta County,1.167383283
CA,Sierra County,0.487553843
CA,Siskiyou County,1.2310353
CA,Solano County,0.654441495
CA,Sonoma County,0.512580419
CA,Stanislaus County,0.933581552
CA,Sutter County,0.77648386
CA,Tehama County,1.2310353
CA,Trinity County,1.165078071
CA,Tulare County,0.914704017
CA,Tuolumne County,0.652229807
CA,Ventura County,1.110834615
CA,Yolo County,0.791738065
CA,Yuba County,0.540607674
CA,Yuma County,0.572769986
