county,carb_inten
Alameda County,0.01416286
Alpine County,0
Amador County,0
Butte County,0
Calaveras County,0
Clark County,0
Colusa County,0
Contra Costa County,0.046438779
El Dorado County,0.083729869
Esmeralda County,0.003437655
Fresno County,0.055655432
Glenn County,0.102762306
Humboldt County,0.030768027
Imperial County,0.055770041
Inyo County,0.002466501
Jackson County,0
Josephine County,0
Kern County,0.080396099
Kings County,0.009538753
Klamath County,0
La Paz County,3.273411131
Lake County,0.018882913
Lassen County,0.001090695
Los Angeles,0.124603923
Los Angeles County,0.031242872
Madera County,0
Maricopa County,0
Marin County,0
Mariposa County,0
Mendocino County,0.022309524
Merced County,0.048457758
Modoc County,0
Mono County,0.002199749
Monterey County,0.107859999
Municipio de Mexicali,0.012326762
Municipio de Tijuana,0.074028742
Napa County,0
Nevada County,0
Orange County,0.004267712
Placer County,0
Plumas County,0
Riverside County,0.040305799
Sacramento County,0.067451905
San Benito County,0.879200369
San Bernardino County,0.047842202
San Diego County,0.029138777
San Francisco County,0
San Joaquin County,0.049028909
San Luis Obispo County,0.004205369
San Mateo County,0
Santa Barbara County,0.003459395
Santa Clara County,0.05532099
Santa Cruz County,0
Shasta County,0.025392342
Sierra County,0
Siskiyou County,0
Solano County,0.0115861
Sonoma County,0.008030257
Stanislaus County,0.048724984
Sutter County,0
Tehama County,0.019586794
Trinity County,0.050985759
Tulare County,0.035328814
Tuolumne County,0
Ventura County,0.009887814
Yolo County,0
Yuba County,0
Yuma County,0.107591545
