state,county,carb_inten
CA,Alameda County,0.01229641
CA,Alpine County,0
CA,Amador County,0
CA,Butte County,0
CA,Calaveras County,0
CA,Clark County,0
CA,Colusa County,0
CA,Contra Costa County,0.031670379
CA,El Dorado County,0.074741226
CA,Esmeralda County,0.004105451
CA,Fresno County,0.033757011
CA,Glenn County,0.025382091
CA,Humboldt County,0.032507374
CA,Imperial County,0.054261681
CA,Inyo County,0.00286195
CA,Jackson County,0
CA,Josephine County,0
CA,Kern County,0.096438915
CA,Kings County,0
CA,Klamath County,0
CA,La Paz County,1.671822777
CA,Lake County,0.020535068
CA,Lassen County,0.001281719
CA,Los Angeles,0
CA,Los Angeles County,0.015671692
CA,Madera County,0
CA,Maricopa County,0
CA,Marin County,0
CA,Mariposa County,0
CA,Mendocino County,0.020970321
CA,Merced County,0.052072128
CA,Modoc County,0
CA,Mono County,0.00267231
CA,Monterey County,0.077604794
CA,Municipio de Mexicali,0
CA,Municipio de Tijuana,0
CA,Napa County,0.032141584
CA,Nevada County,0
CA,Orange County,0.002310715
CA,Placer County,0
CA,Plumas County,0
CA,Riverside County,0.040192712
CA,Sacramento County,0.070579043
CA,San Benito County,1.015479721
CA,San Bernardino County,0.03468991
CA,San Diego County,0.020370364
CA,San Francisco County,0
CA,San Joaquin County,0.04199042
CA,San Luis Obispo County,0
CA,San Mateo County,0
CA,Santa Barbara County,0
CA,Santa Clara County,0.032412254
CA,Santa Cruz County,0
CA,Shasta County,0.024170797
CA,Sierra County,0
CA,Siskiyou County,0
CA,Solano County,0.015439848
CA,Sonoma County,0.016436196
CA,Stanislaus County,0.039958899
CA,Sutter County,0
CA,Tehama County,0.022319421
CA,Trinity County,0.053786459
CA,Tulare County,0.027235096
CA,Tuolumne County,0
CA,Ventura County,0.005643028
CA,Yolo County,0
CA,Yuba County,0
CA,Yuma County,0
