country,State,county,carb_intensity_without_renewable
USA,CA,Alameda County,0.532753024
USA,CA,Alpine County,0.165675927
USA,CA,Amador County,0.199551449
USA,CA,Butte County,0.652338176
USA,CA,Calaveras County,0.165047563
USA,CA,Clark County,0
USA,CA,Colusa County,1.2310353
USA,CA,Contra Costa County,0.819937325
USA,CA,El Dorado County,0.678460529
USA,CA,Esmeralda County,0.1579203
USA,CA,Fresno County,0.608283899
USA,CA,Glenn County,1.2310353
USA,CA,Humboldt County,1.157815242
USA,CA,Imperial County,0.209143996
USA,CA,Inyo County,0.1579203
USA,CA,Josephine County,0
USA,CA,Kern County,0.916312753
USA,CA,Kings County,0.762166729
USA,CA,Klamath County,0
USA,CA,La Paz County,1.2310353
USA,CA,Lake County,0.254114559
USA,CA,Lassen County,0.388878578
USA,CA,Los Angeles County,0.960073661
USA,CA,Madera County,0.338770061
USA,CA,Maricopa County,0
USA,CA,Marin County,0.730066636
USA,CA,Mariposa County,0.634511818
USA,CA,Mendocino County,0.192509408
USA,CA,Merced County,0.443173493
USA,CA,Modoc County,0.957612898
USA,CA,Mono County,0.1579203
USA,CA,Monterey County,0.800592855
USA,CA,Municipio de Mexicali County,0.1579203
USA,CA,Municipio de Tijuana County,1.2310353
USA,CA,Napa County,0.850315717
USA,CA,Nevada County,0.391622983
USA,CA,Orange County,0.963581354
USA,CA,Placer County,0.644464086
USA,CA,Plumas County,0.426716528
USA,CA,Riverside County,0.991470604
USA,CA,Sacramento County,1.064352863
USA,CA,San Benito County,1.117638828
USA,CA,San Bernardino County,1.012310763
USA,CA,San Diego County,0.876755075
USA,CA,San Francisco County,0.413575282
USA,CA,San Joaquin County,0.535103052
USA,CA,San Luis Obispo County,0.071672328
USA,CA,San Mateo County,0.5368186
USA,CA,Santa Barbara County,0.586120773
USA,CA,Santa Clara County,0.900463194
USA,CA,Santa Cruz County,0.336037408
USA,CA,Shasta County,1.160605293
USA,CA,Sierra County,0.434216243
USA,CA,Siskiyou County,1.2310353
USA,CA,Solano County,0.683990534
USA,CA,Sonoma County,0.421808586
USA,CA,Stanislaus County,0.963934804
USA,CA,Sutter County,0.662205016
USA,CA,Tehama County,1.2310353
USA,CA,Trinity County,1.16507807
USA,CA,Tulare County,0.866465356
USA,CA,Tuolumne County,0.698269695
USA,CA,Ventura County,1.111087544
USA,CA,Yolo County,0.715588358
USA,CA,Yuba County,0.492944269
USA,CA,Yuma County,0.50691184
