country,State,county,metric tonnes/MWh
USA,CA,Alameda County,0.900859158
USA,CA,Alpine County,0.267364385
USA,CA,Amador County,0.298006492
USA,CA,Butte County,0.742750279
USA,CA,Calaveras County,0.266225955
USA,CA,Clark County,0
USA,CA,Colusa County,1.2310353
USA,CA,Contra Costa County,1.136703757
USA,CA,El Dorado County,0.83635345
USA,CA,Esmeralda County,0.223079986
USA,CA,Fresno County,0.670065903
USA,CA,Glenn County,1.2310353
USA,CA,Humboldt County,1.185542009
USA,CA,Imperial County,0.238392436
USA,CA,Inyo County,0.295639748
USA,CA,Josephine County,0
USA,CA,Kern County,1.142121709
USA,CA,Kings County,0.688283124
USA,CA,Klamath County,0
USA,CA,La Paz County,1.2310353
USA,CA,Lake County,0.357814644
USA,CA,Lassen County,0.581596951
USA,CA,Los Angeles County,1.059653013
USA,CA,Madera County,0.472981809
USA,CA,Maricopa County,0
USA,CA,Marin County,0.995172375
USA,CA,Mariposa County,0.982993499
USA,CA,Mendocino County,0.505214148
USA,CA,Merced County,0.466849408
USA,CA,Modoc County,0.878303505
USA,CA,Mono County,0.1579203
USA,CA,Monterey County,0.931393373
USA,CA,Municipio de Mexicali County,0.1579203
USA,CA,Municipio de Tijuana County,1.2310353
USA,CA,Napa County,1.021454099
USA,CA,Nevada County,0.61885053
USA,CA,Orange County,1.145704173
USA,CA,Placer County,0.98945367
USA,CA,Plumas County,0.616135679
USA,CA,Riverside County,1.111341375
USA,CA,Sacramento County,1.119792864
USA,CA,San Benito County,1.156472785
USA,CA,San Bernardino County,1.077432726
USA,CA,San Diego County,1.000615014
USA,CA,San Francisco County,0.725876267
USA,CA,San Joaquin County,0.606405999
USA,CA,San Luis Obispo County,0.148832938
USA,CA,San Mateo County,0.802636922
USA,CA,Santa Barbara County,0.898517806
USA,CA,Santa Clara County,1.073707285
USA,CA,Santa Cruz County,0.601652759
USA,CA,Shasta County,1.177191742
USA,CA,Sierra County,0.589564325
USA,CA,Siskiyou County,1.2310353
USA,CA,Solano County,0.812718627
USA,CA,Sonoma County,0.821181547
USA,CA,Stanislaus County,1.00773913
USA,CA,Sutter County,0.893461965
USA,CA,Tehama County,1.2310353
USA,CA,Trinity County,1.19005457
USA,CA,Tulare County,1.202495254
USA,CA,Tuolumne County,0.888416311
USA,CA,Ventura County,1.131298776
USA,CA,Yolo County,0.889569026
USA,CA,Yuba County,0.843959683
USA,CA,Yuma County,0.730795294
