country,state,county,carb_intensity_with_renew,
USA,CA,Alameda County,0.022659282,
USA,CA,Alpine County,0,
USA,CA,Amador County,0.004021373,
USA,CA,Butte County,0,
USA,CA,Calaveras County,0,
USA,CA,Clark County,0,
USA,CA,Colusa County,0,
USA,CA,Contra Costa County,0.036291872,
USA,CA,El Dorado County,0.072197066,
USA,CA,Esmeralda County,0,
USA,CA,Fresno County,0.030702585,
USA,CA,Glenn County,0.008266911,
USA,CA,Humboldt County,0.013674659,
USA,CA,Imperial County,0.039025883,
USA,CA,Inyo County,0.004991892,
USA,CA,Josephine County,0,
USA,CA,Kern County,0.076398503,
USA,CA,Kings County,0.001083647,
USA,CA,Klamath County,0,
USA,CA,La Paz County,0,0.747811141
USA,CA,Lake County,0.020910087,
USA,CA,Lassen County,0.001789318,
USA,CA,Los Angeles County,0.024226806,
USA,CA,Madera County,0.000424874,
USA,CA,Maricopa County,0,
USA,CA,Marin County,0,
USA,CA,Mariposa County,0,
USA,CA,Mendocino County,0.023254127,
USA,CA,Merced County,0.043866765,
USA,CA,Modoc County,0,
USA,CA,Mono County,0.034000882,
USA,CA,Monterey County,0.124248882,
USA,CA,Municipio de Mexicali County,0.019142676,
USA,CA,Municipio de Tijuana County,0,
USA,CA,Napa County,0.039391269,
USA,CA,Nevada County,0,
USA,CA,Orange County,0.00289101,
USA,CA,Placer County,0,
USA,CA,Plumas County,0,
USA,CA,Riverside County,0.051255055,
USA,CA,Sacramento County,0.077383054,
USA,CA,San Benito County,0,0.770158281
USA,CA,San Bernardino County,0.048674264,
USA,CA,San Diego County,0.020369991,
USA,CA,San Francisco County,0,
USA,CA,San Joaquin County,0.029218151,
USA,CA,San Luis Obispo County,0.001942428,
USA,CA,San Mateo County,0.003912782,
USA,CA,Santa Barbara County,0,
USA,CA,Santa Clara County,0.025693579,
USA,CA,Santa Cruz County,0.033162881,
USA,CA,Shasta County,0.030695082,
USA,CA,Sierra County,0,
USA,CA,Siskiyou County,0.0265452,
USA,CA,Solano County,0.030135474,
USA,CA,Sonoma County,0.026320076,
USA,CA,Stanislaus County,0.050401743,
USA,CA,Sutter County,0,
USA,CA,Tehama County,0.014221953,
USA,CA,Trinity County,0.040588895,
USA,CA,Tulare County,0.037088414,
USA,CA,Tuolumne County,0,
USA,CA,Ventura County,0.007949347,
USA,CA,Yolo County,0,
USA,CA,Yuba County,0,
USA,CA,Yuma County,0.042138084,
