country,state,county,carb_intensity_with_renewable,
USA,CA,Alameda County,0.015781265,
USA,CA,Alpine County,0,
USA,CA,Amador County,0.002930069,
USA,CA,Butte County,0.003808248,
USA,CA,Calaveras County,0,
USA,CA,Clark County,0,
USA,CA,Colusa County,0.123668065,
USA,CA,Contra Costa County,0.064238109,
USA,CA,El Dorado County,0.019829998,
USA,CA,Esmeralda County,0.015043283,
USA,CA,Fresno County,0.056718042,
USA,CA,Glenn County,0.086757214,
USA,CA,Humboldt County,0.01098044,
USA,CA,Imperial County,0.064698301,
USA,CA,Inyo County,0.011176644,
USA,CA,Josephine County,0,
USA,CA,Kern County,0.173687656,
USA,CA,Kings County,0.041306005,
USA,CA,Klamath County,0,
USA,CA,La Paz County,0,1.2310353
USA,CA,Lake County,0.033654933,
USA,CA,Lassen County,0.001113188,
USA,CA,Los Angeles County,0.023792825,
USA,CA,Madera County,0,
USA,CA,Maricopa County,0,
USA,CA,Marin County,0,
USA,CA,Mariposa County,0,
USA,CA,Mendocino County,0.02567864,
USA,CA,Merced County,0.060489749,
USA,CA,Modoc County,0,
USA,CA,Mono County,0.008720495,
USA,CA,Monterey County,0.120371879,
USA,CA,Municipio de Mexicali County,0,
USA,CA,Municipio de Tijuana County,0.200582969,
USA,CA,Napa County,0,
USA,CA,Nevada County,0,
USA,CA,Orange County,0.001793857,
USA,CA,Placer County,0.021460443,
USA,CA,Plumas County,0,
USA,CA,Riverside County,0.051846186,
USA,CA,Sacramento County,0.072174954,
USA,CA,San Benito County,0,0.912044736
USA,CA,San Bernardino County,0.080937258,
USA,CA,San Diego County,0.016701817,
USA,CA,San Francisco County,0,
USA,CA,San Joaquin County,0.0413875,
USA,CA,San Luis Obispo County,0.000280279,
USA,CA,San Mateo County,0,
USA,CA,Santa Barbara County,0.011621697,
USA,CA,Santa Clara County,0.026952676,
USA,CA,Santa Cruz County,0,
USA,CA,Shasta County,0.024836207,
USA,CA,Sierra County,0,
USA,CA,Siskiyou County,0.019341474,
USA,CA,Solano County,0.080204085,
USA,CA,Sonoma County,0.007921223,
USA,CA,Stanislaus County,0.071407355,
USA,CA,Sutter County,0.024850816,
USA,CA,Tehama County,0.008366885,
USA,CA,Trinity County,0.031450481,
USA,CA,Tulare County,0.045987343,
USA,CA,Tuolumne County,0,
USA,CA,Ventura County,0.012915015,
USA,CA,Yolo County,0.002961805,
USA,CA,Yuba County,0,
USA,CA,Yuma County,0,
