state,county,carb_inten_renew
CA,Alameda County,0.01926866
CA,Alpine County,0
CA,Amador County,0.004770856
CA,Butte County,0
CA,Calaveras County,0
CA,Clark County,0
CA,Colusa County,0
CA,Contra Costa County,0.044244187
CA,El Dorado County,0.150340687
CA,Esmeralda County,0
CA,Fresno County,0.04254393
CA,Glenn County,0.009632121
CA,Humboldt County,0.016224993
CA,Imperial County,0.056595689
CA,Inyo County,0.006255804
CA,Josephine County,0
CA,Kern County,0.11428945
CA,Kings County,0.000694895
CA,Klamath County,0
CA,La Paz County,3.285031121
CA,Lake County,0.025128254
CA,Lassen County,0.002203393
CA,Los Angeles County,0.031186445
CA,Madera County,0.000286482
CA,Maricopa County,0
CA,Marin County,0
CA,Mariposa County,0
CA,Mendocino County,0.027970483
CA,Merced County,0.05297953
CA,Modoc County,0
CA,Mono County,0.041869197
CA,Monterey County,0.157425342
CA,Municipio de Mexicali County,0.012980998
CA,Municipio de Tijuana County,0.019651178
CA,Napa County,0.060383653
CA,Nevada County,0
CA,Orange County,0.002478206
CA,Placer County,0
CA,Plumas County,0
CA,Riverside County,0.052536364
CA,Sacramento County,0.088452051
CA,San Benito County,1.016476262
CA,San Bernardino County,0.060555314
CA,San Diego County,0.048683521
CA,San Francisco County,0
CA,San Joaquin County,0.062898596
CA,San Luis Obispo County,0.002248449
CA,San Mateo County,0.004302228
CA,Santa Barbara County,0
CA,Santa Clara County,0.046849972
CA,Santa Cruz County,0.039239327
CA,Shasta County,0.036273568
CA,Sierra County,0
CA,Siskiyou County,0.031492559
CA,Solano County,0.036216088
CA,Sonoma County,0.030601958
CA,Stanislaus County,0.060920583
CA,Sutter County,0
CA,Tehama County,0.017316758
CA,Trinity County,0.048100329
CA,Tulare County,0.049132235
CA,Tuolumne County,0
CA,Ventura County,0.009428415
CA,Yolo County,0
CA,Yuba County,0
CA,Yuma County,0.042110705
