state,county,l_ren
CA,Alameda County,1059.0085
CA,Alpine County,17.8884823
CA,Amador County,31.17868261
CA,Butte County,133.9030592
CA,Calaveras County,2.734654844
CA,Clark County,0
CA,Colusa County,25.5217049
CA,Contra Costa County,754.8478989
CA,El Dorado County,44.27172231
CA,Esmeralda County,4.10670595
CA,Fresno County,241.3005426
CA,Glenn County,34.17645565
CA,Humboldt County,57.55869805
CA,Imperial County,-190.2901912
CA,Inyo County,74.3196013
CA,Josephine County,0
CA,Kern County,441.6874853
CA,Kings County,48.68154998
CA,Klamath County,0
CA,La Paz County,-1.496274293
CA,Lake County,34.73339362
CA,Lassen County,42.14557695
CA,Los Angeles County,4734.848748
CA,Madera County,59.59957676
CA,Maricopa County,0
CA,Marin County,177.8730441
CA,Mariposa County,8.5604566
CA,Mendocino County,37.01476979
CA,Merced County,80.78572206
CA,Modoc County,15.65167143
CA,Mono County,-4.153562363
CA,Monterey County,143.3251601
CA,Municipio de Mexicali County,4.033201683
CA,Municipio de Tijuana County,17.19362271
CA,Napa County,69.30250321
CA,Nevada County,22.67115557
CA,Orange County,1602.040647
CA,Placer County,222.6326173
CA,Plumas County,23.99855683
CA,Riverside County,579.4470141
CA,Sacramento County,544.9001007
CA,San Benito County,-29.15807652
CA,San Bernardino County,836.6569168
CA,San Diego County,1599.793554
CA,San Francisco County,407.0748882
CA,San Joaquin County,572.4244164
CA,San Luis Obispo County,46.98592449
CA,San Mateo County,517.7458464
CA,Santa Barbara County,194.1801112
CA,Santa Clara County,1297.364756
CA,Santa Cruz County,159.9492908
CA,Shasta County,60.95191746
CA,Sierra County,9.4714169
CA,Siskiyou County,46.77655935
CA,Solano County,275.3999811
CA,Sonoma County,210.4608182
CA,Stanislaus County,338.8470372
CA,Sutter County,72.22800314
CA,Tehama County,38.44371282
CA,Trinity County,13.18460829
CA,Tulare County,231.5653577
CA,Tuolumne County,14.32214938
CA,Ventura County,514.7535384
CA,Yolo County,142.3775269
CA,Yuba County,54.69263319
CA,Yuma County,-0.050800476
