county,l_ren
 County,0.0
Alameda County,1378.1972005873497
Alpine County,22.3754969
Amador County,39.02783262318808
Butte County,167.6011905
Calaveras County,11.73466729
Clark County,0.0
Colusa County,34.56392759
Contra Costa County,1022.6217444063412
El Dorado County,69.8592364788225
Esmeralda County,5.13680171
Fresno County,596.6075983858007
Glenn County,42.91509153987286
Humboldt County,76.86004290337902
Imperial County,95.73683026715226
Inyo County,106.28901918677128
Josephine County,0.0
Kern County,812.8651016182808
Kings County,126.8425261415879
Klamath County,0.0
La Paz County,0.0
Lake County,55.10927959366114
Lassen County,54.0243458549273
Los Angeles County,6863.346232928321
Madera County,89.75335959844631
Maricopa County,0.0
Marin County,222.48940321999999
Mariposa County,10.70769823
Mendocino County,66.51174076632925
Merced County,159.69446458624589
Modoc County,19.577620908
Mono County,4.70034328304804
Monterey County,257.8313469549444
Municipio de Mexicali County,6.2418257961399695
Municipio de Tijuana County,21.438937082380153
Napa County,124.66062683999999
Nevada County,28.35782062
Orange County,2015.49034642804
Placer County,278.476136866
Plumas County,30.018177408
Riverside County,1022.5385261563125
Sacramento County,814.17643423272
San Benito County,4.70163677
San Bernardino County,1317.5246341068876
San Diego County,2152.8014782349055
San Francisco County,509.18254049
San Joaquin County,793.0895995607153
San Luis Obispo County,163.9264629602671
San Mateo County,647.613384803
Santa Barbara County,275.0891921664858
Santa Clara County,1754.6538626191432
Santa Cruz County,200.06978766
Shasta County,88.55308458005334
Sierra County,11.84715707
Siskiyou County,63.90691192506892
Solano County,374.55211941505456
Sonoma County,329.10822731860094
Stanislaus County,481.51611095955184
Sutter County,90.34514095
Tehama County,49.55847778962946
Trinity County,19.434098756539044
Tulare County,318.3900264805319
Tuolumne County,50.131639377
Ventura County,668.8837654716683
Yolo County,179.57576029999998
Yuba County,68.41132886
Yuma County,3.2781231515166356
