state,county,carb_emit
CA,Alameda County,9.630706803
CA,Alpine County,0
CA,Amador County,0.055403593
CA,Butte County,0
CA,Calaveras County,0
CA,Clark County,0
CA,Colusa County,0
CA,Contra Costa County,14.94233908
CA,El Dorado County,2.938943065
CA,Esmeralda County,0
CA,Fresno County,8.102780331
CA,Glenn County,0.14810545
CA,Humboldt County,0.38059794
CA,Imperial County,2.24217771
CA,Inyo County,0.194435533
CA,Josephine County,0
CA,Kern County,10.91318337
CA,Kings County,0.071462909
CA,Klamath County,0
CA,La Paz County,0.201579583
CA,Lake County,0.473525981
CA,Lassen County,0.033830064
CA,Los Angeles County,68.34094498
CA,Madera County,0.026278882
CA,Maricopa County,0
CA,Marin County,0
CA,Mariposa County,0
CA,Mendocino County,0.658502064
CA,Merced County,4.350489807
CA,Modoc County,0
CA,Mono County,0.069014763
CA,Monterey County,8.338807412
CA,Municipio de Mexicali County,0.035976229
CA,Municipio de Tijuana County,0.260904245
CA,Napa County,2.036551536
CA,Nevada County,0
CA,Orange County,1.445317385
CA,Placer County,0
CA,Plumas County,0
CA,Riverside County,20.38170563
CA,Sacramento County,22.82171538
CA,San Benito County,5.082048315
CA,San Bernardino County,25.56513377
CA,San Diego County,22.57220083
CA,San Francisco County,0
CA,San Joaquin County,9.704415043
CA,San Luis Obispo County,0.166932666
CA,San Mateo County,0
CA,Santa Barbara County,2.06E-14
CA,Santa Clara County,13.3866137
CA,Santa Cruz County,0
CA,Shasta County,1.055843113
CA,Sierra County,0
CA,Siskiyou County,0.609439524
CA,Solano County,3.810864611
CA,Sonoma County,3.76314049
CA,Stanislaus County,10.63364939
CA,Sutter County,0
CA,Tehama County,0.248398148
CA,Trinity County,0.296018802
CA,Tulare County,4.925119699
CA,Tuolumne County,2.825995707
CA,Ventura County,2.546762601
CA,Yolo County,0
CA,Yuba County,0
CA,Yuma County,0.057719366
