bus_i,kV,cities,county,carb_inten_no_renew,pd,Type,Import,Lat,Lon,carb_emit
1,115,Alameda,Alameda County,0.54422,14.90626,'Substation',' ',37.77243572,-122.2429162,8.1122848172
2,66,Byron,Alameda County,0.15692,3.20933,'Substation',' ',37.77848161,-121.6259513,0.5036080636
3,66,Livermore,Alameda County,0.15692,0.0,'Substation',' ',37.7483765,-121.6772083,0.0
4,230,Castro Valley,Alameda County,0.3338,6.00063,'Substation',' ',37.69128098,-122.0612774,2.003010294
5,115,Union City,Alameda County,0.12158,30.52628,'Substation',' ',37.59578193,-122.0174353,3.7113851224
6,66,Mirinda,Trinity County,0.15792,0.0,'Substation',' ',40.09403073,-123.5091868,0.0
7,115,Fremont,Alameda County,0.68478,34.24997,'Substation',' ',37.55699202,-122.05794,23.4536944566
8,115,Oakland,Alameda County,0.56605,17.30995,'Substation',' ',37.73868954,-122.1937991,9.798297197500002
9,115,Fremont,Alameda County,0.12158,2.13792,'Substation',' ',37.49369132,-121.9394285,0.25992831359999996
10,115,San Leandro,Alameda County,0.71037,6.56154,'Substation',' ',37.67126804,-122.1595387,4.6611211697999995
11,115,Berkeley,Alameda County,0.65338,1.65545,'Substation',' ',37.876174,-122.245764,1.081637921
12,66,Pleasanton,Alameda County,0.14909,1.54278,'Substation',' ',37.66794608,-121.8318768,0.2300130702
13,115,Union City,Alameda County,0.12158,9.24437,'Substation',' ',37.59531056,-122.0174915,1.1239305045999999
14,66,Dublin,Alameda County,0.38178,10.14143,'Substation',' ',37.70853376,-121.9070045,3.8717951454
15,66,Livermore,Alameda County,0.18452,6.5721,'Substation',' ',37.68002781,-121.7805048,1.2126838919999998
16,66,Dublin,Alameda County,0.20814,5.92855,'Substation',' ',37.71164362,-121.8938504,1.233968397
17,66,Pleasanton,Alameda County,0.20814,12.2378,'Substation',' ',37.67255501,-121.859528,2.5471756919999997
18,230,Byron,Alameda County,0.15692,0.0,'Substation',' ',37.79905699,-121.6199438,0.0
19,115,San Leandro,Alameda County,0.50493,12.42397,'Substation',' ',37.71062477,-122.1481883,6.273235172100001
20,115,Oakland,Alameda County,0.58694,19.13294,'Substation',' ',37.76299826,-122.2144948,11.2298878036
21,115,Sunol,Alameda County,1.23104,3.3666,'Substation',' ',37.58690266,-121.869684,4.144419264
22,115,Sunol,Alameda County,1.10864,2.18629,'Substation',' ',37.60924399,-121.842671,2.4238085456
23,66,Livermore,Alameda County,0.15692,0.0,'Substation',' ',37.71111924,-121.7158749,0.0
24,66,Pleasanton,Alameda County,0.14909,2.14162,'Substation',' ',37.66968929,-121.8544376,0.3192941258
25,66,Sutter Creek,Amador County,0.1718,1.16511,'Substation',' ',38.408767,-120.822098,0.20016589800000004
26,66,Ione,Amador County,0.1718,1.41417,'Substation',' ',38.34219061,-120.9349804,0.242954406
27,66,Ione,Amador County,0.1718,1.38517,'Substation',' ',38.37390104,-120.9575497,0.23797220600000002
28,66,Ione,Amador County,0.0,0.0,'Substation',' ',38.27717343,-120.9138995,0.0
29,66,Jackson,Amador County,0.1718,2.14848,'Substation',' ',38.36910799,-120.796754,0.36910886400000004
30,66,Martell,Amador County,0.1718,1.2045,'Substation',' ',38.36863575,-120.8054803,0.20693309999999998
31,66,Plymouth,Amador County,0.1718,0.68,'Substation',' ',38.48076425,-120.8449436,0.11682400000000001
32,115,Pioneer,Amador County,0.1718,0.0,'Substation',' ',38.4984199,-120.2184202,0.0
33,66,Pine Grove,Amador County,0.1718,1.30194,'Substation',' ',38.4127977,-120.6602339,0.22367329200000002
34,115,Tracy,San Joaquin County,1.23104,0.0,'Substation',' ',37.71296547,-121.4775277,0.0
35,66,Oroville,Butte County,0.0,0.0,'Substation',' ',39.48122633,-121.5654854,0.0
36,66,Gridley,Butte County,0.56568,2.17153,'Substation',' ',39.36471317,-121.6856152,1.2283910904
37,66,Oroville,Butte County,0.63071,3.39458,'Substation',' ',39.47437782,-121.5747818,2.1409955518
38,66,Biggs,Butte County,0.56568,0.69087,'Substation',' ',39.4087526,-121.6886266,0.3908113416
39,115,Lompoc,Santa Barbara County,0.0,1.57421,'Substation',' ',34.64326979,-120.4372802,0.0
40,66,Chico,Butte County,1.23104,0.0,'Substation',' ',39.81095374,-121.9196266,0.0
41,66,Bangor,Butte County,0.63071,0.92198,'Substation',' ',39.38767374,-121.4031757,0.5815020058
42,115,Chico,Butte County,0.56568,1.31141,'Substation',' ',39.71220645,-121.8133571,0.7418384088
43,115,Chico,Butte County,0.75769,0.0,'Substation',' ',39.71884016,-121.8209206,0.0
44,115,Chico,Butte County,0.63071,2.21829,'Substation',' ',39.72551493,-121.8470758,1.3990976859
45,115,Thousand Palms,Riverside County,0.16398,0.0,'Substation',' ',33.81774602,-116.3674057,0.0
46,115,Durham,Butte County,0.63071,0.0,'Substation',' ',39.60773551,-121.7683336,0.0
47,66,Hamilton City,Glenn County,1.23104,3.74545,'Substation',' ',39.74641854,-122.0113693,4.6107987679999995
48,115,Chico,Butte County,0.63071,5.08874,'Substation',' ',39.7602408,-121.9070486,3.2095192054
49,66,Oroville,Butte County,0.63071,0.0,'Substation',' ',39.50399795,-121.560155,0.0
50,66,Paradise,Butte County,0.63071,0.0,'Substation',' ',39.76066295,-121.6187304,0.0
51,66,Gridley,Butte County,0.56568,0.0,'Substation',' ',39.37824172,-121.6850945,0.0
52,115,Chico,Butte County,0.63071,0.55132,'Substation',' ',39.76876106,-121.8240284,0.34772303720000003
53,115,Oroville,Butte County,0.56568,1.21974,'Substation',' ',39.48676454,-121.6880242,0.6899825232
54,115,Oroville,Butte County,0.63071,0.0,'Substation',' ',39.49170026,-121.5409467,0.0
55,66,San Andreas,Calaveras County,0.1718,0.83578,'Substation',' ',38.16989692,-120.6672277,0.143587004
56,115,Columbia,Tuolumne County,1.10864,2.17746,'Substation',' ',38.06981688,-120.4221335,2.4140192544000003
57,66,Linden,Calaveras County,0.17133,0.0,'Substation',' ',38.10148065,-120.9261759,0.0
58,115,Angels Camp,Calaveras County,0.0,0.0,'Substation',' ',38.0571528,-120.5339711,0.0
59,230,Angels Camp,Tuolumne County,0.1718,0.0,'Substation',' ',37.9446466,-120.5362212,0.0
60,115,Murphys,Calaveras County,0.0,0.0,'Substation',' ',38.14698707,-120.4464194,0.0
61,66,San Andreas,Calaveras County,0.1718,0.0,'Substation',' ',38.19974699,-120.719348,0.0
62,66,Arbuckle,Colusa County,1.23104,0.0,'Substation',' ',39.01747968,-122.0613948,0.0
63,66,Colusa,Colusa County,1.23104,1.99823,'Substation',' ',39.21353467,-122.0025503,2.4599010592
